,team_num,Team,Efficiency: (Wins/avg_Time),Wins,Avg Time Win,SD Time Win,Avg Time Loss,SD Time Loss,Losses to Lorelei,Losses to Bruno,Losses to Agatha,Losses to Lance,Nemesis,Nemesis Losses
0,39339,"hitmonlee, jolteon, jolteon, grimer, beedrill, oddish",,0,,,13.34,5.2,43,43,14,0,lapras,29
1,30872,"gyarados, golem, electrode, nidoran-f, seadra, pinsir",,0,,,16.77,3.69,13,1,86,0,gengar,53
2,30400,"tentacool, weedle, drowzee, caterpie, wigglytuff, nidoking",,0,,,11.54,3.72,100,0,0,0,cloyster,56
3,31240,"golem, eevee, grimer, sandshrew, poliwrath, jynx",,0,,,16.97,7.52,44,9,46,1,gengar,30
4,38579,"clefable, doduo, lapras, golduck, psyduck, lickitung",,0,,,28.7,8.44,27,27,45,1,gengar,25
5,31995,"staryu, magneton, venonat, moltres, golem, electabuzz",,0,,,19.28,7.18,46,11,43,0,lapras,30
6,37879,"lickitung, rapidash, omanyte, rhyhorn, dugtrio, mewtwo",,0,,,14.05,6.19,84,1,15,0,jynx,45
7,32355,"pinsir, rhydon, charizard, mankey, wartortle, poliwag",,0,,,13.24,5.32,63,2,35,0,lapras,41
8,32880,"kingler, grimer, primeape, jolteon, nidorina, butterfree",,0,,,13.8,5.99,69,8,23,0,lapras,26
9,33515,"machamp, jynx, omastar, grimer, vulpix, sandslash",,0,,,14.23,6.17,64,1,35,0,lapras,62
10,33967,"weezing, rapidash, jolteon, krabby, chansey, tentacool",,0,,,15.3,5.89,90,4,6,0,lapras,36
11,31621,"ekans, electrode, vulpix, wartortle, machamp, venusaur",,0,,,14.03,5.78,64,14,22,0,lapras,36
12,38118,"weepinbell, voltorb, muk, venonat, weepinbell, victreebel",,0,,,12.78,4.78,88,8,4,0,jynx,36
13,31186,"tentacruel, tangela, slowbro, mr. mime, jynx, raticate",,0,,,24.64,7.83,63,19,18,0,lapras,44
14,39758,"electabuzz, machop, poliwhirl, nidorina, omanyte, spearow",,0,,,9.77,2.58,95,5,0,0,lapras,46
15,30061,"blastoise, goldeen, dragonite, parasect, oddish, dewgong",,0,,,21.04,6.01,33,13,54,0,gengar,42
16,35098,"mr. mime, magnemite, kingler, beedrill, seadra, gloom",,0,,,13.77,4.04,90,7,3,0,jynx,60
17,33174,"magnemite, blastoise, kakuna, nidoran-f, vaporeon, gastly",,0,,,19.48,6.85,62,4,34,0,lapras,48
18,32734,"cloyster, machop, magneton, nidoqueen, golduck, sandslash",,0,,,22.31,6.26,23,12,65,0,gengar,50
19,32093,"gengar, jigglypuff, kakuna, paras, clefable, cubone",0.8083140877598153,21,25.98,4.83,17.14,7.92,28,2,35,14,lapras,25
20,32042,"aerodactyl, sandshrew, jigglypuff, parasect, dratini, dewgong",,0,,,16.4,7.68,79,16,5,0,jynx,34
21,33602,"kabuto, diglett, mr. mime, marowak, pinsir, gloom",,0,,,15.1,5.67,54,16,30,0,jynx,29
22,39789,"venusaur, farfetch'd, bellsprout, electabuzz, bulbasaur, rhydon",,0,,,8.97,3.53,94,2,4,0,lapras,72
23,35049,"ekans, hypno, weepinbell, wartortle, sandslash, diglett",,0,,,11.66,3.87,95,2,3,0,lapras,27
24,30717,"charmander, caterpie, venusaur, zubat, golem, omastar",,0,,,10.04,3.44,97,0,3,0,slowbro,45
25,31157,"shellder, nidorina, geodude, wartortle, nidoqueen, seaking",,0,,,12.45,3.14,95,1,4,0,jynx,36
26,34609,"koffing, vulpix, hitmonlee, lickitung, magnemite, nidoran-m",,0,,,10.08,2.58,98,2,0,0,jynx,37
27,33263,"ponyta, horsea, parasect, magmar, muk, venonat",,0,,,14.96,5.31,95,2,3,0,jynx,39
28,32384,"spearow, magikarp, seel, alakazam, electabuzz, arcanine",,0,,,13.78,5.92,94,6,0,0,draw,50
29,32423,"electrode, fearow, slowbro, rhydon, arcanine, pidgey",,0,,,15.5,5.14,84,7,9,0,lapras,60
30,32851,"rapidash, hitmonlee, jynx, grimer, victreebel, hitmonlee",,0,,,16.13,6.53,36,32,32,0,gengar,27
31,31291,"weepinbell, seadra, onix, chansey, nidorina, pidgey",,0,,,13.17,5.55,100,0,0,0,cloyster,55
32,34268,"cloyster, seadra, lapras, electrode, clefairy, moltres",,0,,,32.02,9.03,16,26,58,0,gengar,26
33,31944,"koffing, meowth, omastar, venomoth, magneton, shellder",,0,,,13.24,4.52,91,4,5,0,lapras,66
34,31536,"kabuto, parasect, bellsprout, abra, gloom, magikarp",,0,,,9.32,2.88,98,2,0,0,jynx,53
35,30376,"primeape, butterfree, grimer, lickitung, vileplume, lickitung",,0,,,12.69,4.48,80,16,4,0,lapras,51
36,35428,"magmar, hitmonchan, kangaskhan, onix, articuno, raichu",0.0950269242952169,3,31.57,2.73,19.59,6.31,29,3,64,1,gengar,32
37,35111,"articuno, clefairy, exeggcute, persian, pidgeot, krabby",,0,,,14.31,5.5,96,0,4,0,slowbro,37
38,39176,"tauros, mew, pinsir, ponyta, lapras, wigglytuff",0.0216450216450216,1,46.2,,28.21,7.72,16,9,74,0,gengar,46
39,38091,"mankey, onix, voltorb, ekans, horsea, paras",,0,,,7.4,2.6,100,0,0,0,cloyster,36
40,38736,"chansey, victreebel, doduo, gengar, hitmonlee, rapidash",0.9399477806788512,36,38.3,8.0,22.68,11.5,26,3,29,6,gengar,32
41,34751,"farfetch'd, arcanine, ekans, golduck, wigglytuff, ekans",,0,,,11.93,3.01,100,0,0,0,slowbro,47
42,37644,"pikachu, jigglypuff, mankey, ditto, oddish, jigglypuff",,0,,,10.09,4.44,100,0,0,0,jynx,36
43,36004,"dodrio, tauros, machoke, kabutops, graveler, oddish",,0,,,14.3,6.23,56,6,38,0,lapras,38
44,38882,"abra, dragonair, dodrio, dugtrio, diglett, nidorino",,0,,,8.5,3.09,95,2,3,0,slowbro,46
45,34497,"gloom, horsea, drowzee, kakuna, aerodactyl, shellder",,0,,,10.41,4.02,91,6,3,0,cloyster,30
46,38357,"vileplume, gyarados, marowak, pidgey, pidgey, sandshrew",,0,,,11.23,4.71,57,12,31,0,lapras,55
47,34330,"poliwhirl, nidoking, flareon, nidorina, wigglytuff, ditto",,0,,,15.11,4.53,94,2,4,0,jynx,57
48,30589,"shellder, caterpie, dratini, charmander, golem, haunter",0.0973078170613039,3,30.83,6.48,11.44,4.39,84,2,10,1,lapras,38
