,team_num,Team,Efficiency: (Wins/avg_Time),Wins,Avg Time Win,SD Time Win,Avg Time Loss,SD Time Loss,Losses to Lorelei,Losses to Bruno,Losses to Agatha,Losses to Lance,Nemesis,Nemesis Losses
0,93774,"venonat, bellsprout, staryu, drowzee, golbat, nidoqueen",,0,,,11.89,4.15,97,3,0,0,cloyster,63
1,92693,"growlithe, arcanine, rattata, charmander, voltorb, gastly",,0,,,8.74,3.91,91,4,5,0,slowbro,39
2,92134,"magmar, gyarados, venomoth, sandslash, wigglytuff, seadra",,0,,,19.65,6.24,30,12,57,1,gengar,30
3,91786,"kabutops, geodude, mewtwo, clefairy, arcanine, psyduck",,0,,,14.66,5.68,55,10,35,0,lapras,53
4,98718,"zapdos, articuno, ivysaur, zubat, spearow, venusaur",0.5079006772009029,9,17.72,2.4,14.36,4.78,22,15,51,3,gengar,28
5,91021,"kakuna, articuno, scyther, farfetch'd, paras, grimer",,0,,,11.42,3.27,99,0,1,0,cloyster,44
6,95698,"growlithe, gloom, kadabra, bellsprout, golduck, sandshrew",,0,,,9.2,2.84,94,4,2,0,lapras,53
7,90661,"cubone, caterpie, dugtrio, arbok, kangaskhan, gyarados",,0,,,16.46,6.67,53,5,42,0,lapras,38
8,99158,"doduo, zubat, caterpie, scyther, lapras, tangela",,0,,,12.75,4.45,93,6,1,0,slowbro,33
9,92927,"magnemite, ditto, ditto, arcanine, butterfree, machamp",,0,,,19.68,8.5,79,9,11,1,lapras,55
10,92555,"gengar, bulbasaur, graveler, exeggutor, seel, kabuto",2.7586206896551726,64,23.2,3.46,16.96,6.45,3,1,27,5,gengar,25
11,96839,"snorlax, raichu, slowbro, gloom, dratini, moltres",,0,,,29.13,10.64,35,12,53,0,lapras,32
12,93315,"dodrio, squirtle, gengar, staryu, magnemite, marowak",0.8455034588777863,22,26.02,3.52,15.85,5.71,38,4,30,6,lapras,34
13,90200,"scyther, muk, persian, hypno, vulpix, goldeen",,0,,,14.84,5.0,91,8,1,0,lapras,37
14,99539,"koffing, vulpix, poliwhirl, dragonite, magikarp, vileplume",,0,,,12.99,6.03,81,8,11,0,jynx,37
15,98379,"metapod, machoke, dratini, rattata, dugtrio, nidoqueen",,0,,,8.69,3.91,93,4,3,0,slowbro,40
16,91440,"kabuto, tauros, ekans, gastly, charmander, exeggcute",,0,,,12.28,4.95,77,9,14,0,jynx,43
17,91832,"alakazam, exeggutor, nidoqueen, bellsprout, slowpoke, rhydon",,0,,,14.76,7.44,72,2,26,0,lapras,43
18,91336,"voltorb, beedrill, mew, jolteon, nidoran-f, dugtrio",,0,,,16.51,6.51,69,16,15,0,lapras,48
19,94468,"jolteon, jolteon, gengar, beedrill, nidoking, exeggutor",1.7082336863682952,50,29.27,3.74,21.97,4.68,3,0,42,5,gengar,36
20,91491,"gyarados, omanyte, paras, zubat, metapod, bellsprout",,0,,,10.79,4.29,78,14,8,0,lapras,42
21,95228,"shellder, hitmonlee, parasect, abra, goldeen, koffing",,0,,,11.1,3.87,91,6,3,0,lapras,50
22,90576,"golem, parasect, spearow, grimer, mew, muk",,0,,,17.39,6.93,73,6,21,0,lapras,44
