,Team,Efficiency: (Wins/avg_Time),base_total,hp,speed,attack,defense,sp_attack,sp_defense,Wins,Avg Time Win,SD Time Win,Avg Time Loss,SD Time Loss,Losses to Lorelei,Losses to Bruno,Losses to Agatha,Losses to Lance,Nemesis,Nemesis Losses
0,"['sandslash', 'kangaskhan', 'metapod', 'dragonite', 'goldeen', 'jigglypuff']",0.0,2845.0,841.0,378.0,491.0,450.0,320.0,365.0,0,0.0,0.0,13.29,5.71,82,4,14,0,lapras,39
1,"['gengar', 'arcanine', 'rhydon', 'ponyta', 'alakazam', 'dugtrio']",2.068661971830986,3385.0,755.0,605.0,570.0,440.0,555.0,460.0,47,22.72,2.62,14.22,5.23,17,0,28,8,gengar,21
2,"['nidorino', 'graveler', 'ditto', 'poliwrath', 'muk', 'scyther']",0.0,3063.0,789.0,403.0,555.0,500.0,368.0,448.0,0,0.0,0.0,17.46,6.43,63,12,25,0,lapras,46
3,"['ponyta', 'charmeleon', 'pikachu', 'moltres', 'rhyhorn', 'omanyte']",0.0,2925.0,708.0,440.0,459.0,468.0,470.0,380.0,0,0.0,0.0,10.53,3.29,97,1,2,0,slowbro,46
4,"['onix', 'shellder', 'voltorb', 'chansey', 'rhydon', 'venonat']",0.0,2675.0,785.0,375.0,360.0,515.0,280.0,360.0,0,0.0,0.0,11.1,4.51,100,0,0,0,cloyster,56
5,"['meowth', 'pinsir', 'victreebel', 'venonat', 'lapras', 'muk']",0.0,3130.0,840.0,430.0,550.0,435.0,415.0,460.0,0,0.0,0.0,23.6,6.71,17,11,72,0,gengar,47
6,"['seaking', 'ivysaur', 'krabby', 'omastar', 'scyther', 'clefable']",0.0,3168.0,765.0,428.0,529.0,526.0,465.0,455.0,0,0.0,0.0,17.63,7.02,73,7,20,0,lapras,40
7,"['omanyte', 'slowbro', 'seadra', 'dragonite', 'blastoise', 'caterpie']",0.0,3120.0,760.0,383.0,457.0,565.0,520.0,435.0,0,0.0,0.0,27.14,7.92,47,4,49,0,lapras,37
8,"['lapras', 'mankey', 'flareon', 'raichu', 'drowzee', 'kakuna']",0.0,2893.0,760.0,412.0,488.0,355.0,403.0,475.0,0,0.0,0.0,14.72,3.89,90,9,1,0,jynx,57
9,"['ekans', 'rapidash', 'persian', 'marowak', 'seadra', 'ekans']",0.0,2891.0,675.0,490.0,465.0,453.0,400.0,408.0,0,0.0,0.0,9.98,2.92,100,0,0,0,slowbro,61
10,"['growlithe', 'kabutops', 'butterfree', 'gengar', 'kingler', 'meowth']",1.388888888888889,3015.0,690.0,515.0,500.0,440.0,475.0,395.0,39,28.08,3.17,20.43,5.89,10,6,37,8,gengar,34
11,"['alakazam', 'porygon', 'marowak', 'charmeleon', 'charmander', 'machoke']",0.0,2949.0,717.0,425.0,436.0,426.0,490.0,455.0,0,0.0,0.0,9.01,2.33,97,3,0,0,slowbro,47
12,"['seaking', 'fearow', 'seel', 'horsea', 'meowth', 'weedle']",0.0,2507.0,680.0,443.0,377.0,350.0,331.0,326.0,0,0.0,0.0,10.54,3.56,100,0,0,0,slowbro,50
13,"['growlithe', 'magikarp', 'cubone', 'porygon', 'zubat', 'jigglypuff']",0.0,2290.0,705.0,320.0,310.0,350.0,315.0,290.0,0,0.0,0.0,8.59,3.15,100,0,0,0,cloyster,65
14,"['squirtle', 'nidoqueen', 'spearow', 'marowak', 'fearow', 'poliwhirl']",0.0,2843.0,724.0,454.0,465.0,452.0,347.0,401.0,0,0.0,0.0,10.08,3.01,99,0,1,0,slowbro,51
15,"['golbat', 'starmie', 'horsea', 'venomoth', 'magikarp', 'tauros']",0.0,2920.0,690.0,575.0,400.0,465.0,410.0,380.0,0,0.0,0.0,13.71,4.45,100,0,0,0,slowbro,29
16,"['zapdos', 'tauros', 'growlithe', 'ponyta', 'rhydon', 'voltorb']",0.0,3155.0,775.0,530.0,535.0,480.0,430.0,405.0,0,0.0,0.0,12.44,5.49,45,23,32,0,lapras,39
