,team_num,Team,Efficiency: (Wins/avg_Time),Wins,Avg Time Win,SD Time Win,Avg Time Loss,SD Time Loss,Losses to Lorelei,Losses to Bruno,Losses to Agatha,Losses to Lance,Nemesis,Nemesis Losses
0,63615,"lapras, sandslash, kangaskhan, pidgeot, hitmonlee, mr. mime",,0,,,23.18,6.89,34,11,55,0,jynx,29
1,62055,"charizard, hitmonlee, paras, sandshrew, rapidash, seadra",,0,,,11.16,3.33,91,7,2,0,lapras,39
2,68679,"dewgong, rhydon, starmie, pidgeot, ivysaur, articuno",,0,,,28.82,10.35,72,0,28,0,lapras,51
3,61140,"dewgong, staryu, raticate, nidorina, machop, ivysaur",,0,,,20.42,4.58,99,1,0,0,slowbro,37
4,60700,"articuno, pidgeotto, jolteon, lapras, dodrio, cubone",0.0557103064066852,2,35.9,3.96,23.62,7.18,30,7,61,0,gengar,26
5,69039,"pidgey, fearow, arcanine, snorlax, articuno, blastoise",0.0506970849176172,2,39.45,8.13,34.24,9.6,14,3,81,0,gengar,42
6,62434,"clefairy, diglett, weezing, seel, charizard, muk",,0,,,23.38,9.62,66,14,20,0,jynx,29
7,62846,"charmander, staryu, aerodactyl, alakazam, starmie, electrode",,0,,,15.84,5.42,88,6,6,0,lapras,51
8,62393,"staryu, ivysaur, nidoqueen, jolteon, pinsir, kakuna",,0,,,14.85,6.32,84,4,12,0,lapras,53
9,63274,"gloom, hitmonlee, golem, moltres, kingler, staryu",,0,,,13.85,5.43,52,1,47,0,gengar,32
10,66958,"jolteon, bulbasaur, fearow, sandslash, clefairy, electrode",,0,,,14.78,6.47,68,16,16,0,lapras,40
11,60361,"parasect, growlithe, vileplume, beedrill, exeggcute, weedle",,0,,,8.93,3.61,88,10,2,0,lapras,30
12,69458,"primeape, fearow, parasect, vileplume, gyarados, wigglytuff",,0,,,18.68,6.83,33,2,65,0,gengar,40
13,65398,"rhydon, omanyte, snorlax, persian, jynx, butterfree",,0,,,26.78,8.54,16,25,59,0,gengar,32
14,68218,"ponyta, diglett, tauros, alakazam, haunter, graveler",0.1926163723916533,6,31.15,3.97,12.9,7.1,73,1,17,3,lapras,55
15,61953,"primeape, poliwag, pidgeot, drowzee, pidgeotto, machoke",,0,,,10.36,3.33,94,3,3,0,lapras,62
16,61521,"goldeen, wartortle, rhyhorn, growlithe, weepinbell, kadabra",,0,,,9.74,2.59,98,1,1,0,jynx,46
