,team_num,Team,Efficiency: (Wins/avg_Time),Wins,Avg Time Win,SD Time Win,Avg Time Loss,SD Time Loss,Losses to Lorelei,Losses to Bruno,Losses to Agatha,Losses to Lance,Nemesis,Nemesis Losses
0,51102,"weepinbell, meowth, jigglypuff, sandshrew, marowak, rhydon",,0,,,8.15,3.45,100,0,0,0,cloyster,53
1,50742,"diglett, squirtle, voltorb, kabuto, fearow, shellder",,0,,,10.29,3.2,100,0,0,0,slowbro,55
2,56109,"paras, electrode, mr. mime, koffing, zubat, hypno",,0,,,10.16,2.66,98,2,0,0,jynx,56
3,53657,"farfetch'd, wigglytuff, mewtwo, grimer, victreebel, ninetales",,0,,,15.71,6.98,71,10,18,1,draw,59
4,52017,"zubat, primeape, magikarp, magmar, omastar, magneton",,0,,,15.03,6.4,65,9,26,0,lapras,46
5,57749,"graveler, voltorb, victreebel, metapod, magmar, slowbro",,0,,,16.3,5.67,76,8,16,0,lapras,41
6,59868,"diglett, venusaur, butterfree, charmander, caterpie, vileplume",,0,,,9.42,3.18,89,9,2,0,jynx,42
7,50323,"exeggcute, electabuzz, slowbro, zapdos, mr. mime, clefable",0.299028158484924,12,40.13,3.87,28.98,8.43,16,6,63,3,gengar,36
8,50484,"dewgong, rhyhorn, slowbro, jynx, geodude, zapdos",,0,,,36.81,10.74,31,1,65,3,gengar,46
9,51563,"jigglypuff, lapras, psyduck, raichu, goldeen, diglett",,0,,,17.08,6.03,70,30,0,0,jynx,24
10,51911,"cloyster, farfetch'd, jigglypuff, staryu, oddish, caterpie",,0,,,14.2,5.51,83,14,3,0,jynx,49
11,57328,"mewtwo, beedrill, paras, onix, rattata, rhyhorn",,0,,,9.4,3.93,81,6,13,0,lapras,56
12,52804,"kabutops, tentacruel, mr. mime, venusaur, nidoqueen, kangaskhan",,0,,,21.55,4.95,16,9,75,0,gengar,64
13,52476,"hitmonlee, haunter, hypno, golbat, articuno, fearow",1.0625255414793626,26,24.47,3.52,14.96,6.04,37,1,32,4,lapras,32
14,53236,"flareon, voltorb, farfetch'd, jigglypuff, marowak, hitmonchan",,0,,,10.38,4.78,89,5,6,0,slowbro,29
15,56568,"lickitung, tentacool, chansey, nidorina, flareon, slowbro",,0,,,22.51,8.29,67,27,6,0,jynx,36
16,53591,"horsea, seadra, muk, onix, poliwag, gengar",0.151285930408472,7,46.27,4.71,27.55,9.69,50,0,38,5,lapras,39
17,53932,"pikachu, golem, hitmonlee, kabuto, aerodactyl, ekans",,0,,,10.75,4.66,81,1,18,0,lapras,62
18,53540,"sandslash, rhydon, persian, parasect, vulpix, magikarp",,0,,,9.23,3.29,96,3,1,0,jynx,37
19,52300,"hitmonchan, charmander, gengar, bulbasaur, seaking, dugtrio",2.2155943757988923,52,23.47,3.16,18.44,6.77,7,0,27,14,gengar,41
20,54939,"paras, poliwag, blastoise, voltorb, jolteon, pikachu",,0,,,13.41,5.07,79,14,7,0,lapras,44
21,51215,"omastar, magnemite, omastar, cubone, sandslash, mr. mime",,0,,,17.76,5.84,46,21,33,0,lapras,39
22,50455,"scyther, poliwrath, dugtrio, weezing, mr. mime, sandshrew",,0,,,14.64,6.35,68,2,30,0,lapras,48
23,50827,"geodude, poliwag, dugtrio, nidoqueen, haunter, dragonair",0.1033413709955218,3,29.03,1.7,13.75,6.87,65,3,23,6,lapras,34
24,57798,"kakuna, pidgeotto, snorlax, moltres, gloom, machamp",,0,,,30.45,14.25,40,8,52,0,gengar,31
25,52761,"magikarp, jigglypuff, haunter, golbat, bellsprout, cubone",,0,,,13.03,7.05,76,5,14,5,lapras,39
26,53686,"drowzee, caterpie, vileplume, nidorino, mewtwo, dugtrio",,0,,,13.73,6.64,64,8,27,1,lapras,53
27,53121,"paras, wigglytuff, lapras, sandshrew, flareon, jolteon",,0,,,22.4,8.21,65,27,8,0,jynx,30
